QADate,Unit,Energy,MU,DPF,ADPass,RDPass,AD,RD,D4DD,D4DTA,D4Gamma,Area,Circumference,MCS,Span,CoA,MachineType
12/08/2023,NA12,6X,730.1,400,75,90,97.9,100.0,0.0,0.0,0.0,81.46802777777778,54.48133333333333,0.52955,14.90936323117533,1.4953383625788241,Agility
12/08/2023,NA12,6X,264.8,180,75,90,94.6,98.5,0.0,0.0,0.0,20.246638888888892,21.970888888888886,0.304597,5.351385397136275,0.92152115425462,Agility
12/08/2023,NA12,6X,601.7,400,75,90,94.5,99.9,0.0,0.0,0.0,119.35933333333334,63.0328888888889,0.390134,17.969415034503648,1.8936040444494584,Agility
12/08/2023,NA12,6X,316.1,0,75,90,96.9,97.7,0.0,0.0,0.0,10.454694444444444,17.52122222222222,0.175911,4.275007415716685,0.5966875091159293,Agility
12/08/2023,NA12,6X,587.8,600,75,90,96.8,99.8,0.0,0.0,0.0,237.37960317460315,104.58698412698413,0.440445,22.186466160536142,2.2696858997902556,Agility
12/08/2023,NA12,6X,584.2,600,75,90,97.3,100.0,0.0,0.0,0.0,196.36345238095234,104.46492063492063,0.341527,25.73868683519033,1.8797070938980045,Agility
12/08/2023,NA12,6X,174.4,180,75,90,93.2,96.3,0.0,0.0,0.0,24.250841584158415,34.174257425742574,0.184987,9.727931532396987,0.7096230733572836,Agility
12/08/2023,NA12,6X,187.4,180,75,90,90.6,96.3,0.0,0.0,0.0,23.827475247524752,35.34039603960396,0.191695,9.207173690236724,0.6742277370299604,Agility
12/08/2023,NA12,6X,1660.8,600,88,95,95.4,100.0,0.0,0.0,0.0,40.20641666666668,44.45955555555556,0.203898,11.391288462683214,0.9043369004538458,Agility
12/08/2023,NA12,6X,300.8,200,83,95,95.1,99.2,0.0,0.0,0.0,34.64186111111111,39.449,0.273708,10.584270955103861,0.8781429468709249,Agility
12/08/2023,NA12,6X,272.0,200,83,95,94.9,98.4,0.0,0.0,0.0,38.18305555555556,39.244,0.325721,10.7421505726164,0.9729654356221477,Agility
12/08/2023,NA12,6X,480.7,300,83,95,91.4,99.3,0.0,0.0,0.0,87.1436111111111,85.48822222222223,0.26137,20.82278596588368,1.0193639409717254,Agility
12/08/2023,NA12,6X,448.8,300,83,95,91.1,99.8,0.0,0.0,0.0,86.1106388888889,84.50733333333334,0.270005,21.30057249812616,1.0189723837247524,Agility
12/08/2023,NA12,6X,274.2,200,75,90,88.5,98.7,0.0,0.0,0.0,72.37002777777778,79.72333333333334,0.162752,20.84687327753261,0.9077647001435519,Agility
12/08/2023,NA12,6X,259.6,200,75,90,85.4,94.9,0.0,0.0,0.0,76.00805555555556,84.80311111111111,0.178777,21.88838896185314,0.8962885271504715,Agility
12/08/2023,NA12,6X,349.6,200,75,90,83.3,96.3,0.0,0.0,0.0,50.432861111111116,74.1201111111111,0.135102,20.175336000418902,0.68042074350791,Agility
